Topic,Name,Document,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
372,372_nuclear_reactors_powerplants_chernobyl,16,16,16,16,16,16
373,373_kenyan_barack_kenya_born,16,16,16,16,16,16
374,374_hospitalized_health_medical_physician,16,16,16,16,16,16
375,375_gaza_hamas_hamass_israeli,16,16,16,16,16,16
376,376_faked_fake_screenshot_screenshots,16,16,16,16,16,16
377,377_musk_musks_undocumented_immigrant,16,16,16,16,16,16
378,378_aipac_superpac_superpacs_pac,16,16,16,16,16,16
379,379_suckers_soldiers_httpswwwsnopescomnews20240418trumpsoldierssuckerslosers_losers,16,16,16,16,16,16
380,380_mexico_mexicos_tariffs_tariff,16,16,16,16,16,16
381,381_hollywood_fires_fire_sign,16,16,16,16,16,16
382,382_tariffs_tariffed_exports_imports,15,15,15,15,15,15
383,383_musk_scam_tesla_hacked,15,15,15,15,15,15
384,384_drake_drakes_drakedebate_aubrey,15,15,15,15,15,15
385,385_logo_logos_crest_trademark,15,15,15,15,15,15
386,386_bridge_collapsed_uss_vessel,15,15,15,15,15,15
387,387_immigrants_immigration_immigrant_httpswwwsnopescomfactcheckdemocratscollegeimmigrants,15,15,15,15,15,15
388,388_relocated_headquartered_headquarters_california,15,15,15,15,15,15
389,389_phishing_ipfsio_malicious_metamask,15,15,15,15,15,15
390,390_advertisement_advertisements_ads_ad,15,15,15,15,15,15
391,391_account_0xsoniclabs_impersonating_httpsxcom0xsoniclabs,15,15,15,15,15,15
392,392_phishing_movementlabsxyz_httpsxcomaevoxyz_aevoxyz,15,15,15,15,15,15
393,393_canadians_51st_httpsnationalpostcomopinionnpviewmiddleclasslifekeepsgettingharderundertrudeauliberals_httpsnationalpostcomnewscanadasurveycanadiansoppose51ststate,15,15,15,15,15,15
394,394_decimals_dividing_decimal_multiplied,15,15,15,15,15,15
395,395_officers_officer_deaths_rioters,15,15,15,15,15,15
396,396_tweets_tweet_tweeted_httpswwwpolitifactcomfactchecks2022may27tweetsnotedcruzdoesnttweetsamethoughtsandprayers,15,15,15,15,15,15
397,397_juggs_juggsquot_images_image,15,15,15,15,15,15
398,398_convicted_acquitted_sentenced_conviction,15,15,15,15,15,15
399,399_blast_blastl2_blastl2s_scam,15,15,15,15,15,15
400,400_obituary_died_death_grief,14,14,14,14,14,14
401,401_token_tokens_xtokeninfo_scam,14,14,14,14,14,14
402,402_terrorism_terrorist_terrorismquot_terrorists,14,14,14,14,14,14
403,403_ceo_ceos_shareholder_shareholders,14,14,14,14,14,14
404,404_floyd_floyds_autopsy_overdose,14,14,14,14,14,14
405,405_hamas_helicopters_helicopter_israeli,14,14,14,14,14,14
406,406_rowling_potter_radcliffe_rowlings,14,14,14,14,14,14
407,407_gaza_aid_humanitarian_httpswwwtimesofisraelcomisraelclaimshighestsingledaynumberofaidtrucksentersgazasincewarbegan,14,14,14,14,14,14
408,408_gst_tax_taxation_taxed,14,14,14,14,14,14
409,409_gold_1gold_commodity_httpswwwinvestopediacomarticleseconomics09whygoldmattersasptocgoldasaninvestment,14,14,14,14,14,14
410,410_reported_spam_violates_inappropriate,14,14,14,14,14,14
411,411_phosphorus_munitions_ammunition_grenade,14,14,14,14,14,14
412,412_scam_scammer_crypto_httpsmediumcomgiveawaycom3waystospotafakesocialmediagiveawayandprotectyourselffromscamsde687949b18a,14,14,14,14,14,14
413,413_betting_gambling_advertisement_advertising,14,14,14,14,14,14
414,414_advertisements_ad_ads_gambling,14,14,14,14,14,14
415,415_mayoral_mile_mayor_khan,14,14,14,14,14,14
416,416_genderquot_identifies_httpsenmwikipediaorgwikiwoman_female,14,14,14,14,14,14
417,417_earthquakes_earthquake_quakes_quake,14,14,14,14,14,14
418,418_domainsquot_domains_domain_icanniana,13,13,13,13,13,13
419,419_scrollzkp_malicious_account_httpsxcomscrollzkp,13,13,13,13,13,13
420,420_scam_scams_crypto_httpsmediumcomgiveawaycom3waystospotafakesocialmediagiveawayandprotectyourselffromscamsde687949b18a,13,13,13,13,13,13
421,421_earthquakes_earthquake_quakes_predictions,13,13,13,13,13,13
422,422_phishing_scam_crypto_httpstrezoriosupportamalicioussmartcontracts,13,13,13,13,13,13
423,423_inauguration_video_presidential_presidency,13,13,13,13,13,13
424,424_advertisement_promoting_gambling_spam,13,13,13,13,13,13
425,425_robinson_jailed_lennon_sentenced,13,13,13,13,13,13
426,426_leaks_leaked_leak_leaker,13,13,13,13,13,13
427,427_protests_protest_farmers_protested,13,13,13,13,13,13
428,428_colonialism_colonial_colonies_settlers,13,13,13,13,13,13
429,429_irs_agents_hires_hiring,13,13,13,13,13,13
430,430_earrings_earpiece_earring_earphones,13,13,13,13,13,13
431,431_reported_spam_violate_violates,13,13,13,13,13,13
432,432_nations_un_agreements_territorial,13,13,13,13,13,13
433,433_footage_scene_film_documentary,13,13,13,13,13,13
434,434_attire_uniforms_wearing_wear,13,13,13,13,13,13
435,435_aggression_violence_oppose_nonviolent,13,13,13,13,13,13
436,436_cyprus_cypriot_cypriots_turks,13,13,13,13,13,13
437,437_housing_rents_homes_residential,13,13,13,13,13,13
438,438_talmud_talmudquot_rabbis_jewish,13,13,13,13,13,13
439,439_train_braking_trains_railroadsquot,13,13,13,13,13,13
440,440_guardsmen_guard_deployed_httpsreservenationalguardcomunittrainingbacktothefieldnationalguardunitsgearupforannualtrainingamp,13,13,13,13,13,13
441,441_spanish_spanishspeaking_catalan_portuguese,13,13,13,13,13,13
442,442_f35_f35s_jet_jets,13,13,13,13,13,13
443,443_afd_afds_nazis_nazi,13,13,13,13,13,13
444,444_interview_interviewee_snoop_headline,13,13,13,13,13,13
445,445_scam_ads_legit_fake,13,13,13,13,13,13
446,446_zelenskyy_zelensky_zaluzhny_zelenskis,13,13,13,13,13,13
447,447_scam_impersonation_phishing_impersonating,12,12,12,12,12,12
448,448_brandedfeatureshashtag_brandedfeatures_likes_logo,12,12,12,12,12,12
449,449_phishing_malicious_metamask_deceptive,12,12,12,12,12,12
450,450_httpslawofficeorgilenisraelicitizenshipdnatest_dna_paternity_ancestry,12,12,12,12,12,12
451,451_arson_fires_fire_evacuation,12,12,12,12,12,12
452,452_nominees_attend_attended_inauguration,12,12,12,12,12,12
453,453_swimsuits_clothing_childrens_sizes,12,12,12,12,12,12
454,454_attendance_capacity_population_seating,12,12,12,12,12,12
455,455_bioweapons_biolabs_bioweapon_laboratories,12,12,12,12,12,12
456,456_abortion_overturned_roe_abortions,12,12,12,12,12,12
457,457_scots_scotlands_scotland_scottish,12,12,12,12,12,12
458,458_auroras_aurora_auroral_storms,12,12,12,12,12,12
459,459_musk_musks_taxpayers_taxes,12,12,12,12,12,12
460,460_hamas_gazan_kidnapped_kidnapp,12,12,12,12,12,12
461,461_riots_protesters_leeds_protesting,12,12,12,12,12,12
462,462_tariffs_tariff_canadas_exports,12,12,12,12,12,12
463,463_stalker_stalking_stalked_followers,12,12,12,12,12,12
464,464_tiktok_satire_videos_clickbait,12,12,12,12,12,12
465,465_child_childe_grandson_kid,12,12,12,12,12,12
466,466_cancer_leukemia_mortality_httpswwwdailymailcoukhealtharticle13197079cancerepidemicyoungpeopleamericaukindiasouthafricahtml,12,12,12,12,12,12
467,467_groceries_inflation_grocery_foods,12,12,12,12,12,12
468,468_toes_fingers_toe_finger,12,12,12,12,12,12
469,469_disinfectant_disinfected_bleach_bleachquot,12,12,12,12,12,12
470,470_judiciary_judicial_justices_constitutional,12,12,12,12,12,12
471,471_airdrop_phishing_airdrops_scams,12,12,12,12,12,12
472,472_irondome_missiles_missile_dome,12,12,12,12,12,12
473,473_eggs_egg_inflation_prices,12,12,12,12,12,12
474,474_premium_subscription_subscriptions_pricingquot,12,12,12,12,12,12
475,475_scam_spam_bloxlink_hacked,12,12,12,12,12,12
476,476_httpswwwmoneysavingexpertcomreclaimreclaimcarfinance_pcp_fee_paying,12,12,12,12,12,12
477,477_billionaire_billionaires_forbes_billion,12,12,12,12,12,12
478,478_victims_aid_donation_raped,11,11,11,11,11,11
479,479_roblox_robux_rbloxhb_autoplays,11,11,11,11,11,11
480,480_scam_scams_airdrop_legitimate,11,11,11,11,11,11
481,481_earthquakes_earthquake_quakes_forecasts,11,11,11,11,11,11
482,482_adhd_ritalin_disorders_httpswwwpsychiatryorgpatientsfamiliesadhdwhatisadhd,11,11,11,11,11,11
483,483_libel_brigitte_feminist_macron,11,11,11,11,11,11
484,484_scam_scams_scammers_giveaway,11,11,11,11,11,11
485,485_layerzero_layerzerocore_layerzerofndn_httpsxcomlayerzerocore,11,11,11,11,11,11
486,486_doordash_temu_scam_scammer,11,11,11,11,11,11
487,487_vacations_vacation_vacationquot_biden,11,11,11,11,11,11
488,488_shirt_tshirt_wearing_photo,11,11,11,11,11,11
489,489_ripple_ripples_scam_phishing,11,11,11,11,11,11
490,490_earthquakes_earthquake_predictions_prediction,11,11,11,11,11,11
491,491_stocks_stock_nasdaq_dow,11,11,11,11,11,11
492,492_ads_advertising_ad_advertisers,11,11,11,11,11,11
493,493_palestinian_gaza_hamas_israeli,11,11,11,11,11,11
494,494_macbooks_scam_hacked_scammers,11,11,11,11,11,11
495,495_tx_impeachment_texans_texas,11,11,11,11,11,11
496,496_phishing_suinsc1aietop_suinscletop_malicious,11,11,11,11,11,11
497,497_tornado_tornadoes_tornados_typhoon,11,11,11,11,11,11
498,498_hazem_hazemmm_hazems_hazemgg,11,11,11,11,11,11
499,499_actresses_actress_cast_actors,10,10,10,10,10,10
500,500_appeals_appealed_lawsuit_court,10,10,10,10,10,10
501,501_thunberg_2029_climate_httpswwwsnopescomfactcheckgretathunbergdeleted2018tweetonhumanity,10,10,10,10,10,10
502,502_alcoholic_alcohol_alcoholism_alcoholfree,10,10,10,10,10,10
503,503_childbirth_postpartum_uterus_fetus,10,10,10,10,10,10
504,504_ratified_amendments_ratification_amendment,10,10,10,10,10,10
505,505_followers_follower_subscribersusers_unfollow,10,10,10,10,10,10
